Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Царенко;Віктор;Демидович;Чоловіча;2007-07-10;Намотувальник;селище Валки ;площа Розумовський 2-й, буд. 9, Новий Буг, 64923;056 900-58-40;illia79@example.com
Башполченко;Амвросій;Германович;Чоловіча;1950-10-20;Стоматолог;хутір Феодосія;провулок Маріїнська, буд. 2, Мостиська, 55462;+380 79 236 36 31;bohdanasaula@example.net
Пушкар;Святослав;Глібович;Чоловіча;1994-10-16;Ботанік;село Дрогобич;набережна Віри Холодної, буд. 117 кв. 185, Звенигородка, 04981;092 130-45-86;etokar@example.org
Мазур;Владислав;Ігорович;Чоловіча;2001-01-06;Фотограф;хутір Вуглегірськ;набережна Регенсбург, буд. 629 кв. 83, Золоте, 90789;011 857 92 95;shukhevychteodor@example.org
Цюпа;Аліна;Ларисаівна;Жіноча;1948-08-02;Ріелтор;місто Авдіївка;набережна Лузанівський 2-й, буд. 5, Волочиськ, 87563;500 37 24;ishcherbak@example.net
Макогон;Ліза;Анітаівна;Жіноча;1941-02-11;Графік;село Арциз;набережна Псковська, буд. 73, Лубни, 70582;044 875 64 20;volodymyra64@example.com
Єрченко;Левко;Іванович;Чоловіча;1995-10-10;Кухар;місто Буча;сквер Цимлянська, буд. 9, Бобринець, 36649;+380 44 086 30 96;khomykleonid@example.com
Оробець;Любов;Галинаівна;Жіноча;1987-08-28;Випробувач;селище Ромни;узвіз Кавунова, буд. 6, Снігурівка, 68991;+380 29 132-70-43;drobiazkospas@example.net
Мазур;Надія;Єлисаветаівна;Жіноча;1992-01-20;Реабілітолог;село Берестечко;шосе Ф. Пішеніна, буд. 639, Устилуг, 35746;+380 (71) 895-74-21;andrusenkomykhailyna@example.com
Демиденко;Пантелеймон;Васильович;Чоловіча;2000-09-11;Круп'є;місто Амвросіївка;сквер Привозна, буд. 1 кв. 33, Антрацит , 69401;+380 (72) 756-44-58;marusiaadamenko@example.org
Євтушенко;Левко;Антонович;Чоловіча;1942-12-02;Архітектор;місто Тлумач;шосе Академіка Вільямса, буд. 812 кв. 7, Петрово-Красносілля, 20596;+380 83 923-04-35;epanchuk@example.org
Онищенко;Богуслав;Соломонович;Чоловіча;2003-03-05;Кінолог;селище Бровари;узвіз Докова, буд. 3, Остер , 56661;+380 26 007-02-96;hennadii10@example.org
Приходько;Еріка;Оксанаівна;Жіноча;1952-06-05;Гицель;селище Ківерці;провулок Достоєвського, буд. 4 кв. 82, Харків, 10629;+380 27 146-99-24;ybatih@example.com
Терещенко;Азар;Петроович;Чоловіча;1991-09-27;Науковець;село Буськ;сквер Лузанівський, буд. 5 кв. 723, Мелітополь, 24355;+380 32 097-76-55;liudmyla51@example.com
Чміль;Владислав;Онисимович;Чоловіча;1970-01-06;Електрослюсар;хутір Черкаси;сквер Бернардацці, буд. 136 кв. 7, Балаклія, 55577;944-35-35;marta22@example.net
Колесниченко;Святослава;Галинаівна;Жіноча;2008-01-19;Гінеколог;місто Борщів;набережна 8-ма Суворовська, буд. 596, Перемишляни, 01220;304 55 83;rakazar@example.org
Макогон;Йосип;Вадимович;Чоловіча;1997-04-06;Вчитель;хутір Кагарлик;вулиця Онезька, буд. 1, Дрогобич, 37701;996 23 38;dieresko@example.org
Малишко;Амвросій;Богуславович;Чоловіча;1944-11-09;Будник;селище Роздільна;парк 1-ша Лінія Марії Демченко, буд. 23 кв. 94, Петрово-Красносілля, 60142;+380 25 597-26-70;sradchenko@example.com
Гавриленко;Трохим;Пантелеймонович;Чоловіча;1975-07-27;Гірник;село Яворів;провулок Лугова, буд. 95 кв. 85, Торецьк, 71607;+380 27 471-65-18;liudmyla49@example.org
Тригуб;Любов;Міленаівна;Жіноча;1984-03-30;Скульптор;село Зугрес;площа Лиманчик 2-й Лінія 8-ма, буд. 32 кв. 5, Сновськ, 99107;+380 14 044-55-75;malyshkodemian@example.com
Філіпенко;Едита;Вікторіяівна;Жіноча;1941-11-30;Піаніст;місто Сватове;узвіз Салтикова-Щедріна, буд. 556, Гадяч, 92316;+380 61 077-93-34;iatseniukedyta@example.com
Данченко;Єлисавета;Михайлинаівна;Жіноча;1941-04-17;Ботанік;хутір Пологи ;проспект Чорноморський 4-й, буд. 05, Енергодар, 71715;+380 77 861-04-71;ovsiienkoiaryna@example.org
Шведченко;Вадим;Мирославович;Чоловіча;1974-11-14;Державний службовець;місто Миргород;набережна Довга, буд. 0, Ясинувата, 81006;+380 11 757 18 79;okhrim52@example.org
Дробʼязко;Ірина;Оксеніяівна;Жіноча;1991-07-21;Конструктор;село Запоріжжя;узвіз Локомотивний 3-й, буд. 361 кв. 23, Запоріжжя, 34671;989-75-91;ierchenkoanton@example.org
Акименко;Богодар;Лесьович;Чоловіча;1991-01-17;Нотаріус;село Алушта;набережна Петрашевського, буд. 979, Березань , 20472;+380 (59) 383-16-48;tbabak@example.org
Бандера;Святослав;Ростиславович;Чоловіча;1999-08-19;Продюсер;хутір Мостиська;набережна Єфімова, буд. 48 кв. 7, Мар'їнка, 73208;007 251-96-11;stefan65@example.com
Щорс;Ірина;Михайлинаівна;Жіноча;1980-11-12;Актор;місто Володимир-Волинський;проспект Пастера, буд. 18, Алмазна, 83029;+380 76 348-88-27;ffurs@example.org
Атаманюк;Леопольд;Спасович;Чоловіча;1989-07-23;Лікар;селище Українка ;вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 602 кв. 29, Миргород, 85004;987 60 43;vladyslavlytvynenko@example.org
Гриценко;Ярослав;Олексаович;Чоловіча;1973-05-15;Астроном;хутір Кременець;площа Східчастий 3-й, буд. 4 кв. 0, Гола Пристань, 46137;648 93 06;vakulenkoorkhyp@example.org
Жарко;Тетяна;Соломіяівна;Жіноча;2002-04-10;Фізик;хутір Євпаторія;сквер Листяний, буд. 59, Острог, 43921;+380 72 061 03 24;romanchukanzhela@example.com
Засуха;Демʼян;Єлисейович;Чоловіча;2001-12-14;Конструктор;хутір Кролевець;набережна Студентський 1-й, буд. 17, Дружба , 42456;+380 (37) 456-79-00;uhavrylyshyna@example.net
Наливайко;Аліна;Оксанаівна;Жіноча;1982-02-25;Географ;місто Буча;парк Нікітіна, буд. 75, Маріуполь, 46270;020 507 11 62;klavdiiaiakovenko@example.org
Пʼятаченко;Софія;Амаліяівна;Жіноча;1944-10-15;Кур'єр;хутір Глухів;узвіз Лазурний 5-й, буд. 133 кв. 5, Теребовля, 60466;+380 48 098-60-72;ivanychukviktor@example.org
Ейбоженко;Мирослав;Лукʼянович;Чоловіча;1974-11-04;Електромонтер;хутір Нове Давидково;узвіз Ризька, буд. 89 кв. 59, Ялта, 25592;635-10-28;onysymtereshchenko@example.com
Євдокименко;Богуслав;Теодорович;Чоловіча;2000-01-11;Водій;хутір Токмак;провулок Лінія 43-тя, буд. 162, Решетилівка, 89071;+380 (17) 473-89-21;alinamatviienko@example.org
Данькевич;Ярина;Анітаівна;Жіноча;1943-11-28;Маркетолог;місто Лебедин;парк Прирейкова, буд. 79 кв. 187, Монастирище, 67265;+380 28 126-28-04;solomon74@example.org
Вівчаренко;Леонтій;Адамович;Чоловіча;1981-03-06;Мінералог;селище Гірник ;площа Морехідний, буд. 7, Овруч, 79602;098 711-57-88;avreliidurdynets@example.net
Оліфіренко;Оксана;Роксоланаівна;Жіноча;1981-09-15;Психолог;місто Щастя ;парк Дорбуду, буд. 45 кв. 55, Переяслав, 35818;935 55 13;kchaika@example.net
Колесниченко;Єва;Тетянаівна;Жіноча;1961-04-02;Графік;хутір Славутич;сквер Шевченка парк, буд. 6 кв. 089, Костопіль, 98948;+380 03 414-03-75;vasylhunko@example.org
Чабан;Аарон;Пилипович;Чоловіча;2001-12-08;Астроном;хутір Луганськ;набережна Транспортна, буд. 503, Ізюм, 56027;+380 (37) 651-39-03;chumakklyment@example.com
Свистун;Пріска;Любовівна;Жіноча;1999-09-02;Журналіст;хутір Надвірна;сквер Амбулаторна, буд. 099 кв. 54, Бердянськ, 90955;+380 60 686-96-65;zhuchenkoliubov@example.net
Єщенко;Емілія;Ганнаівна;Жіноча;1995-04-30;Інженер;хутір Гребінка;шосе Траса Здоров'я, буд. 45, П'ятихатки, 17858;047 358 67 55;iustyna54@example.net
Вдовенко;Віра;Клавдіяівна;Жіноча;1981-09-03;Головний меркшейдер;село Оріхів;парк Дальній, буд. 846 кв. 12, Чернігів, 19028;043 342 62 19;osomko@example.org
Забашта;Борислав;Владиславович;Чоловіча;1985-03-16;Астроном;селище Олешки;парк 11-та Лінія Марії Демченко, буд. 63 кв. 886, Теплодар, 44469;+380 47 594 12 34;verhunzakhar@example.com
Сагаль;Надія;Віраівна;Жіноча;1978-02-02;Менеджер;село Біла Церква;вулиця Докова, буд. 187, Чоп, 52504;048 091-06-66;olenaprytula@example.org
Саченко;Амалія;Каміллаівна;Жіноча;1969-06-26;Машиніст;хутір Кам'янка (Черкаська область);вулиця Офіцерська, буд. 02, Мелітополь, 42030;676 16 12;avhustyn65@example.org
Ніколюк;Пантелеймон;Андрійович;Чоловіча;1989-01-11;Композитор;село Вилкове;шосе Вчительської, 2-й, буд. 179 кв. 732, Сіверськ, 97870;691 20 13;varfolomii07@example.net
Алексеєнко;Розалія;Марʼянаівна;Жіноча;1997-11-25;Паблік рилейшнз;місто Миколаїв;сквер Таїрова, буд. 71, Славутич, 46115;635 03 70;stanislav01@example.org
Ажажа;Світлана;Софіяівна;Жіноча;1994-04-22;Фрілансер;селище Міусинськ;сквер Макаренка, буд. 64, Синельникове, 08107;+380 58 749 76 57;musyk@example.org
Христич;Леонід;Климентович;Чоловіча;1969-01-19;Провізор;селище Ромни;вулиця Маяковського, буд. 1 кв. 982, Немирів, 53427;959 03 35;leontiiprytula@example.org
Худяк;Аврелій;Зиновійович;Чоловіча;1992-10-25;Нотаріус;село Кобеляки;проспект Скрипковий, буд. 50 кв. 1, Надвірна, 17209;096 657 55 42;iiaremkiv@example.com
Шелест;Руслан;Русланович;Чоловіча;1990-07-11;Підприємець;село Тлумач;сквер Саксаганського, буд. 476 кв. 61, Харків, 92222;086 065-42-72;amvrosii04@example.com
Михалюк;Анжела;Едитаівна;Жіноча;1942-04-21;Режисер;місто Щолкіне;узвіз Багрицького, буд. 6 кв. 95, Батурин, 29117;798 09 78;vadym58@example.com
Базилевський;Макар;Левкоович;Чоловіча;1940-04-12;Музикознавець;село Лисичанськ;площа Китобійна, буд. 1, Дергачі, 68984;+380 21 898 16 68;oleh06@example.org
Ковпак;Варвара;Тетянаівна;Жіноча;2004-07-16;Акушер;хутір Євпаторія;парк Різовська, буд. 280, Горішні Плавні, 35409;013 484 43 29;ishvedchenko@example.com
Андрійович;Амалія;Іринаівна;Жіноча;1986-09-10;Реабілітолог;селище Тернопіль;парк Тополина, буд. 75 кв. 127, Гадяч, 39207;+380 (73) 109-46-78;pasaula@example.net
Супруненко;Аврелій;Володимирович;Чоловіча;1970-11-18;Штукатур;селище Бахчисарай;площа Залізничний 3-й, буд. 6 кв. 966, Обухів, 37094;+380 01 993-23-80;solomonbabarychenko@example.net
Короленко;Степан;Бориславович;Чоловіча;1986-06-24;Агроном;село Хуст;набережна Аеродромний 1-й, буд. 33 кв. 81, Мала Виска, 80248;+380 68 084-58-15;andriievychustym@example.net
Гречаник;Лесь;Августинович;Чоловіча;1978-12-10;Професор;селище Бобринець;проспект Воронезька, буд. 413, Запоріжжя, 01501;+380 71 886-28-17;iaroshvolodymyra@example.net
Андрієнко;Святослав;Францович;Чоловіча;1944-02-28;Патологоанатом;селище Чоп;шосе 15-та Суворовська, буд. 452 кв. 87, Кам'янка-Бузька, 91220;783 38 47;arkhypenkoiefrem@example.net
Смик;Зорян;Азарович;Чоловіча;1992-02-18;Медик;селище Новояворівськ;площа Миколи Плигуна, буд. 3, Липовець, 54543;+380 23 145-96-73;marta14@example.net
Голобородько;Охрім;Соломонович;Чоловіча;1962-09-07;Скульптор;місто Підгайці;площа Приморська, буд. 09, Новий Розділ, 60554;358 38 28;rvyshyvana@example.org
Влох;Симон;Юстимович;Чоловіча;1959-02-27;Парфюмер;хутір Жидачів;шосе 11-та Суворовська, буд. 1, Косів, 82564;071 419 18 17;ada43@example.org
Ребрик;Орест;Леонідович;Чоловіча;1981-07-05;Складальник;хутір Середина-Буда;проспект Тимірязєва, буд. 55, Кремінна, 90369;070 252-05-00;nataliiasirobaba@example.com
Вітер;Гаврило;Ростиславович;Чоловіча;1993-01-25;Фізик;село Біла Церква;проспект Артезіанська, буд. 8, Конотоп, 87994;+380 61 855-83-27;hennadii40@example.net
Євтушенко;Кирило;Олесьович;Чоловіча;2004-11-13;Мірошник;селище Радехів;сквер Рівності 1-й, буд. 9 кв. 326, Буськ, 88407;+380 06 619 40 86;stanislav38@example.com
Оліфіренко;Валентин;Степанович;Чоловіча;1973-02-21;Астроном;село Хоростків;проспект 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 0, Щастя , 43164;+380 (88) 372-81-73;bohuslav02@example.org
Оніщук;Ілля;Юхимович;Чоловіча;1973-10-07;Продюсер;місто Тлумач;площа Вокзальна, буд. 6, Сколе, 19549;037 447 16 44;dbaklan@example.org
Токар;Прохір;Францович;Чоловіча;2008-01-12;Співак;село Джанкой;узвіз Свободи, буд. 6, Лисичанськ, 46965;077 955-98-58;hutsuliaksviatoslava@example.net
Притула;Хома;Антонович;Чоловіча;1942-09-03;Ґрунтознавець;село Вуглегірськ;шосе Павлова, буд. 354, Острог, 18863;+380 05 558 95 52;olehhaidai@example.com
Заїка;Леон;Михайлоович;Чоловіча;2003-09-19;Музикознавець;хутір Гуляйполе;набережна Керченський 3-й, буд. 93 кв. 2, Чигирин, 79130;+380 70 072 73 30;vitalii67@example.org
Данилюк;Валентина;Адаівна;Жіноча;1967-05-30;Пілот;село Харків;шосе Головна, буд. 0 кв. 637, Суми, 95309;+380 69 106-33-12;babiakleon@example.net
Масоха;Соломон;Демидович;Чоловіча;1992-06-09;Кінорежисер;село Очаків;парк Таїрова, буд. 2, Люботин, 22470;029 440-64-07;bhydenkoihor@example.net
Канівець;Остап;Венедиктович;Чоловіча;1984-01-06;Геолог;хутір Роздільна;площа Дунаєвського 3-й, буд. 3 кв. 1, Заставна, 30729;+380 31 344-69-82;aandroshchuk@example.com
Абрамчук;Одарка;Розаліяівна;Жіноча;1981-01-19;Дантист;хутір Семенівка;вулиця Лузанівська, буд. 3 кв. 84, Генічеськ, 56496;+380 (67) 982-73-23;mromanchuk@example.net
Матяш;Станіслав;Вікторович;Чоловіча;1966-10-11;Фізик;місто Вільнянськ;набережна Кибальчича, буд. 16 кв. 5, Бердянськ, 65147;+380 41 925-12-52;protsenkoliudmyla@example.net
Алексюк;Богданна;Віраівна;Жіноча;1996-10-10;Доцент;місто Мелітополь;вулиця Транспортна, буд. 1 кв. 81, Бучач, 42836;+380 88 431-57-41;riatseniuk@example.net
Чабан;Юстина;Юстинаівна;Жіноча;1944-12-12;Мінералог;місто Зіньків;вулиця Сталепрокатна, буд. 616 кв. 5, Пустомити, 82596;+380 40 045-91-35;edytababiichuk@example.net
Лубенець;Соломія;Святославаівна;Жіноча;1956-02-27;Єгер;селище Родинське;провулок Докова, буд. 45, Іловайськ, 44946;281 26 76;panas91@example.org
Джус;Іван;Федірович;Чоловіча;2001-03-26;Філолог;хутір Старобільськ;площа Сортувальна 1-ша, буд. 8 кв. 2, Тульчин, 94287;908-00-93;verhunoles@example.org
Фартушняк;Михайло;Мирославович;Чоловіча;1993-01-08;Бізнесмен;місто Боярка;шосе Любашівський, буд. 49 кв. 45, Авдіївка, 08609;470 97 85;opanasmoskal@example.org
Єременко;Трохим;Степанович;Чоловіча;1955-07-24;Промисловець;місто Корсунь-Шевченківський;вулиця Теплична, буд. 63 кв. 75, Радехів, 07898;267-23-94;yhavrysh@example.com
Батуринець;Василина;Ольгаівна;Жіноча;2008-08-30;Різноробочий;село Чорнобиль;узвіз Шота Руставелі, буд. 426, Дергачі, 62067;078 681 23 79;bandurkaarkadii@example.com
Романчук;Устим;Степанович;Чоловіча;1954-12-30;Клавішник;хутір Сєвєродонецьк;парк Цементний, буд. 0 кв. 305, Немирів, 20610;231 67 78;iaremkivsolomiia@example.org
Оніщук;Трохим;Павлоович;Чоловіча;2001-07-16;Палеонтолог;місто Петрово-Красносілля;площа Каманіна, буд. 934, Вінниця, 42222;+380 61 793 74 08;romanetspavlo@example.org
Шахрай;Назар;Сергійович;Чоловіча;1982-09-15;Графік;місто Прип'ять ;площа Дубовий гай, буд. 57 кв. 050, Обухів, 97910;027 274 76 77;roksolana11@example.org
Сомко;Одарка;Еміліяівна;Жіноча;2000-12-02;Льотчик;село Гірник ;набережна Лінія 51-ша, буд. 4 кв. 698, Армянськ, 47365;+380 (46) 014-79-34;khavryliv@example.net
Рудько;Клавдія;Богуславаівна;Жіноча;1967-09-15;Драматург;селище Світлодарськ;шосе Отамана Головатого, буд. 1 кв. 47, Узин, 18896;380 43 25;babiivadym@example.com
Коваленко;Дмитро;Аврелійович;Чоловіча;1952-03-11;Патологоанатом;місто Підгородне;площа Академіка Гаркавого, буд. 827 кв. 3, Білозерське, 73454;+380 (97) 956-48-31;iievtushenko@example.net
Кальченко;Лукʼян;Зорянович;Чоловіча;1960-07-23;Письменник;хутір Підгайці;набережна Лунний, буд. 26, Угнів, 08788;+380 (11) 155-48-42;revaliliia@example.com
Артюшенко;Стефан;Опанасович;Чоловіча;2008-07-12;Єгер;місто Зіньків;шосе Курортний, буд. 2, Курахове, 51788;+380 62 887-18-19;antonorobets@example.net
Асаула;Зорян;Соломонович;Чоловіча;1942-06-11;Співак;місто Кам'янець-Подільський;проспект Ламаний, буд. 64 кв. 1, Херсон, 55264;+380 11 679-95-39;myron10@example.com
Рак;Омелян;Тимофійович;Чоловіча;1971-04-04;Кінокритик;хутір П'ятихатки;проспект Лиманчик 2-й Лінія 2-га, буд. 30, Южноукраїнськ, 50222;522 30 73;jverkhola@example.com
Забіла;Світлана;Богданнаівна;Жіноча;1989-04-13;Антрополог;селище Вільногірськ;площа Слави, буд. 0, Рава-Руська, 48702;366 81 83;nataliiakabanenko@example.org
Данькевич;Богодар;Костянтинович;Чоловіча;1996-07-23;Нотаріус;селище Василівка ;провулок Умова, буд. 9 кв. 098, Підгородне, 13206;028 546-33-75;korzhles@example.net
Артюшенко;Валерій;Маркоович;Чоловіча;2006-01-23;Історик;хутір Бібрка;набережна Єлісаветинська, буд. 8 кв. 28, Старий Самбір, 72692;750 10 76;ylytvynenko@example.com
Деркач;Орися;Наталіяівна;Жіноча;1940-10-19;Штукатур;село Пирятин;вулиця Донцова Дмитра, буд. 568, Голубівка, 14425;086 785 02 94;leszarudnyi@example.net
Єфименко;Ярослава;Іринаівна;Жіноча;1960-10-10;Будник;хутір Полонне;сквер Лютневий 2-й, буд. 23 кв. 97, Перемишляни, 62385;+380 76 142 49 80;zakharkhudiak@example.net
Тягнибок;Надія;Клавдіяівна;Жіноча;1970-06-16;Медик;місто Вишгород;вулиця Прорізний, буд. 615 кв. 688, Білгород-Дністровський, 96438;064 478 56 24;leontii92@example.net
Бабич;Аніта;Христинаівна;Жіноча;1974-04-21;Піаніст;місто Міусинськ;узвіз Псковський, буд. 8 кв. 8, Новомосковськ, 33955;005 887-20-25;nestaikovadym@example.net
Лавренко;Олег;Захарович;Чоловіча;1986-06-12;Архітектор;селище Хорол ;площа Шахтинський, буд. 056 кв. 167, Славута, 53755;088 507-17-25;hordiimiroshnychenko@example.org
Симоненко;Святослава;Ларисаівна;Жіноча;1950-01-24;Промисловець;місто Хмільник;провулок Дідріхсона, буд. 481, Сокаль, 05717;+380 55 051-61-97;anzhelapoltavets@example.net
Карпа;Богданна;Златославаівна;Жіноча;1958-08-11;Електрослюсар;хутір Луцьк;парк Травневий 5-й, буд. 978, Підгородне, 66384;+380 59 729-57-78;mhavryliv@example.org
Бандурка;Емілія;Людмилаівна;Жіноча;1989-06-21;Гірничий інженер;хутір Хмельницький;узвіз Ветеранів праці, буд. 51 кв. 098, Новий Калинів, 98128;023 158-85-91;haidamakahanna@example.net
Дробаха;Сніжана;Одаркаівна;Жіноча;2005-09-11;Психолог;місто Белз;набережна Чапаєва, буд. 128, Маріуполь, 71927;157 16 34;hlib31@example.net
Гаврилюк;Ярослав;Захарович;Чоловіча;2005-08-21;Мірошник;село Чуднів;парк Штурманська, буд. 310 кв. 21, Білогірськ, 53333;089 593-42-24;avlasenko@example.com
Тягнибок;Маруся;Анітаівна;Жіноча;1981-07-17;Правник;село Стрий;шосе Радісна, буд. 9, Городок, 68931;048 050-19-47;shelestavhustyn@example.net
Базилевська;Оксенія;Оленаівна;Жіноча;1945-06-27;Мірошник;хутір Бобровиця;провулок Промисловий, буд. 7, Дебальцеве, 40361;+380 37 047-95-59;iakovenkoalla@example.org
Авдєєнко;Хома;Устимович;Чоловіча;1962-03-28;Флорист;село Коростень;узвіз Восьмого березня 8-й, буд. 92, Ковель, 95229;450 65 02;rkhudobiak@example.com
Удовиченко;Варвара;Каміллаівна;Жіноча;2006-03-24;Прокурор;хутір Корець;набережна Торгова, буд. 35, Рахів, 72411;+380 12 767 42 42;astus@example.com
Прокопович;Людмила;Наталіяівна;Жіноча;1959-09-18;Круп'є;село Новоукраїнка;шосе Фруктовий, буд. 615 кв. 02, Бориспіль, 28400;067 107-28-09;hryhoriichuiko@example.com
Юхименко;Аркадій;Станіславович;Чоловіча;1943-07-15;Мікробіолог;хутір Бахчисарай;сквер Зоринська, буд. 1 кв. 956, Свалява, 22327;039 234-45-05;arsen87@example.net
Харченко;Георгій;Венедиктович;Чоловіча;1984-03-13;Фізик;село Новоукраїнка;площа Псковський, буд. 922 кв. 350, Ромни, 85852;833 76 89;azarudnyi@example.net
Чабан;Володимира;Клавдіяівна;Жіноча;1962-04-07;Музикант;село Сокиряни;набережна Лесі Українки, буд. 2, Марганець , 66560;+380 (02) 334-30-17;liubovkalchenko@example.net
Юрчук;Святослава;Альбінаівна;Жіноча;1959-07-31;Флорист;селище Яготин;парк Віцеадмірала Жукова, буд. 59 кв. 50, Баранівка, 53093;+380 61 329 14 70;ostapneporozhnii@example.org
Башполченко;Марина;Галинаівна;Жіноча;1956-05-20;Маркетолог;місто Баранівка;провулок Амурський 3-й, буд. 28, Дергачі, 54675;+380 17 212-47-64;snizhana94@example.net
Дергач;Юстим;Семенович;Чоловіча;2008-02-15;Стропальник;село Галич;провулок Черешнева, буд. 40 кв. 531, Конотоп, 80768;092 072-61-45;shtepaoksana@example.net
Червоненко;Гордій;Семенович;Чоловіча;1984-11-19;Слідчий;місто Ржищів;сквер Сливова, буд. 34 кв. 202, Святогірськ, 47235;036 324-03-12;vvakarchuk@example.com
Ярема;Леопольд;Гордійович;Чоловіча;2008-03-25;Гицель;хутір Зугрес;вулиця Аеродромний 1-й, буд. 475, Ірпінь, 21508;384-18-40;amaliia15@example.net
Бабиченко;Анастасія;Алінаівна;Жіноча;2008-08-21;Кіноактор;місто Яремче;проспект Нафтовиків, буд. 6, Батурин, 72289;746-77-54;shynkarenkoandrii@example.org
Доценко;Еріка;Едитаівна;Жіноча;1999-01-10;Фрілансер;хутір Золоте;площа Одеська, буд. 7, Дніпро , 32815;395 33 36;mykolai33@example.com
Москаль;Едуард;Богуславович;Чоловіча;1995-07-25;Секретар;хутір Миронівка;вулиця Рівний, буд. 09, Золоте, 29519;474 42 75;kbazylevych@example.org
Баклан;Юстина;Златославаівна;Жіноча;1942-11-02;Композитор;селище Тернівка ;узвіз Багрицького, буд. 129 кв. 261, Щастя , 07756;+380 (14) 841-32-02;baranyktetiana@example.net
Франко;Марія;Надіяівна;Жіноча;1991-06-13;Медик;хутір Єнакієве;площа Мазараті, буд. 26 кв. 5, Остер , 36189;324 41 84;zabashtapanas@example.com
Дурдинець;Марина;Роксоланаівна;Жіноча;1999-05-28;Мікробіолог;селище Новоселиця;набережна Рибальська, буд. 9, Мала Виска, 63046;658-83-12;albertbabych@example.com
Царенко;Богданна;Іренаівна;Жіноча;1981-08-13;Клавішник;хутір Кодима;проспект Чорноморський 9-й, буд. 086, Лебедин, 77298;+380 (48) 426-03-23;epalii@example.org
